date	hour	nb_streamer	nb_spec
4-Nov-11	20	51	959
4-Nov-11	21	66	929
4-Nov-11	22	61	1157
4-Nov-11	23	65	1247
5-Nov-11	0	76	1396
5-Nov-11	1	67	1469
5-Nov-11	2	67	1660
5-Nov-11	3	65	1517
5-Nov-11	4	65	1592
5-Nov-11	5	76	1627
5-Nov-11	6	66	1285
5-Nov-11	7	58	1061
5-Nov-11	8	46	994
5-Nov-11	9	40	889
5-Nov-11	10	40	746
5-Nov-11	11	35	621
5-Nov-11	12	37	651
5-Nov-11	13	39	834
5-Nov-11	14	39	794
5-Nov-11	15	39	649
5-Nov-11	16	43	724
5-Nov-11	17	52	789
5-Nov-11	18	64	1148
5-Nov-11	19	64	1282
5-Nov-11	20	58	1735
5-Nov-11	21	67	1731
5-Nov-11	22	63	1494
5-Nov-11	23	79	1271
6-Nov-11	0	77	1464
6-Nov-11	1	66	1476
6-Nov-11	2	75	1698
6-Nov-11	3	72	1878
6-Nov-11	4	79	1836
6-Nov-11	5	72	2446
6-Nov-11	6	60	1993
6-Nov-11	7	58	1737
6-Nov-11	8	44	1122
6-Nov-11	9	41	1118
6-Nov-11	10	35	819
6-Nov-11	11	30	865
6-Nov-11	12	31	852
6-Nov-11	13	32	800
6-Nov-11	14	39	776
6-Nov-11	15	39	1025
6-Nov-11	16	45	1239
6-Nov-11	17	42	1251
6-Nov-11	18	56	1327
6-Nov-11	19	61	1276
6-Nov-11	20	54	1054
6-Nov-11	21	58	1062
6-Nov-11	22	60	1248
6-Nov-11	23	55	1350
7-Nov-11	0	51	1195
7-Nov-11	1	49	1196
7-Nov-11	2	56	1308
7-Nov-11	3	53	1212
7-Nov-11	4	46	1078
7-Nov-11	5	47	805
7-Nov-11	6	57	706
7-Nov-11	7	48	714
7-Nov-11	8	42	721
7-Nov-11	9	41	884
7-Nov-11	10	32	669
7-Nov-11	11	27	516
7-Nov-11	12	25	459
7-Nov-11	13	22	551
7-Nov-11	14	21	474
7-Nov-11	15	27	611
7-Nov-11	16	33	583
7-Nov-11	17	31	804
7-Nov-11	18	28	1065
7-Nov-11	19	34	1012
7-Nov-11	20	44	924
7-Nov-11	21	40	1017
7-Nov-11	22	39	1077
7-Nov-11	23	40	938
8-Nov-11	0	42	1004
8-Nov-11	1	44	830
8-Nov-11	2	46	771
8-Nov-11	3	39	827
8-Nov-11	4	37	740
8-Nov-11	5	45	908
8-Nov-11	6	48	996
8-Nov-11	7	47	777
8-Nov-11	8	43	647
8-Nov-11	9	32	480
8-Nov-11	10	32	370
8-Nov-11	11	28	334
8-Nov-11	12	36	434
8-Nov-11	13	25	478
8-Nov-11	14	31	528
8-Nov-11	15	26	591
8-Nov-11	16	27	594
8-Nov-11	17	35	691
8-Nov-11	18	38	573
8-Nov-11	19	40	596
8-Nov-11	20	36	531
8-Nov-11	21	38	526
8-Nov-11	22	43	578
8-Nov-11	23	38	515
9-Nov-11	0	40	493
9-Nov-11	1	42	431
9-Nov-11	2	43	456
9-Nov-11	3	48	587
9-Nov-11	4	35	434
9-Nov-11	5	57	532
9-Nov-11	6	45	596
9-Nov-11	7	45	586
9-Nov-11	8	38	456
9-Nov-11	9	29	599
9-Nov-11	10	27	195
9-Nov-11	11	26	198
9-Nov-11	12	26	530
9-Nov-11	13	19	441
9-Nov-11	14	16	352
9-Nov-11	15	15	382
9-Nov-11	16	24	458
9-Nov-11	17	26	476
9-Nov-11	18	30	557
9-Nov-11	19	28	664
9-Nov-11	20	34	589
9-Nov-11	21	38	1592
9-Nov-11	22	38	1527
9-Nov-11	23	40	1303
10-Nov-11	0	39	579
10-Nov-11	1	43	593
10-Nov-11	2	44	399
10-Nov-11	3	42	379
10-Nov-11	4	40	346
10-Nov-11	5	43	457
10-Nov-11	6	40	546
10-Nov-11	7	38	571
10-Nov-11	8	35	541
10-Nov-11	9	31	276
10-Nov-11	10	27	300
10-Nov-11	11	18	336
10-Nov-11	12	15	344
10-Nov-11	13	14	348
10-Nov-11	14	19	424
10-Nov-11	15	22	398
10-Nov-11	16	20	490
10-Nov-11	17	24	545
10-Nov-11	18	24	386
10-Nov-11	19	19	371
10-Nov-11	20	23	513
10-Nov-11	21	25	681
10-Nov-11	22	30	884
10-Nov-11	23	34	748
11-Nov-11	0	37	798
11-Nov-11	1	37	753
11-Nov-11	2	36	564
11-Nov-11	3	38	650
11-Nov-11	4	33	678
11-Nov-11	5	35	700
11-Nov-11	6	42	306
11-Nov-11	7	44	394
11-Nov-11	8	34	202
11-Nov-11	9	21	123
11-Nov-11	10	19	138
11-Nov-11	11	23	156
11-Nov-11	12	21	271
11-Nov-11	13	21	345
11-Nov-11	14	18	355
11-Nov-11	15	22	454
11-Nov-11	16	25	569
11-Nov-11	17	29	627
11-Nov-11	18	40	788
11-Nov-11	19	30	267
11-Nov-11	20	28	273
11-Nov-11	21	32	433
11-Nov-11	22	40	406
11-Nov-11	23	33	444
12-Nov-11	0	36	304
12-Nov-11	1	36	351
12-Nov-11	2	29	338
12-Nov-11	3	37	629
12-Nov-11	4	37	965
12-Nov-11	5	33	607
12-Nov-11	6	32	262
